"ean";"classification";"source_id";"product_number";"name";"source_active";"gross_price";"stock";"description_hash";"short_description_hash"
"4062292000003";"EAN_AS_PRODUCT_NUMBER_COPY";"117781";"CouchtischCT9010";"Couchtisch Tisch Couchtische Glastisch Tische Designer Beistelltisch Neu CT9010";"true";"799";"0";"dac2d71d24ed897b";"4601288778b9e8bd"
"4062292000003";"EAN_AS_PRODUCT_NUMBER_COPY";"320498";"4062292000003";"Couchtisch Tisch Couchtische Glastisch Designer Beistelltisch CT9010";"true";"799";"0";"bfb49b65ad04b12e";"77efc30fad11fc31"
"4062292000010";"EAN_AS_PRODUCT_NUMBER_COPY";"117845";"CouchtischCT9012";"Couchtisch Tisch Couchtische Glastisch Tische Designer Beistelltisch Neu CT9012";"true";"799";"0";"774d955ee23400d9";"78c442f602337829"
"4062292000010";"EAN_AS_PRODUCT_NUMBER_COPY";"320505";"4062292000010";"Couchtisch Tisch Couchtische Glastisch Designer Beistelltisch CT9012";"true";"799";"0";"aa7fffc5c6d06456";"ecb0288714fcb2e5"
"4062292000027";"EAN_AS_PRODUCT_NUMBER_COPY";"118068";"SofaF3014B";"Ledersofa Couch Wohnlandschaft Ecksofa Eck Garnitur Design Modern Sofa F_3014B";"true";"2899";"0";"478879316a6722e5";"cd8d1acbfa079a6d"
"4062292000027";"EAN_AS_PRODUCT_NUMBER_COPY";"453580";"4062292000027";"Ledersofa Couch Wohnlandschaft Ecksofa Eck Garnitur Design Modern Sofa F_3014B";"true";"2049";"100";"1c0a4875311de52b";"e08192fcb09cbfec"
"4062292000041";"EAN_AS_PRODUCT_NUMBER_COPY";"122178";"SofaF3014D";"Ledersofa Couch Wohnlandschaft 3+2+1 Sitzer Garnitur Design Modern Sofa F_3014D";"true";"2999";"0";"c1a2efa18a1dbec6";"317cf44d1307662d"
"4062292000041";"EAN_AS_PRODUCT_NUMBER_COPY";"463143";"4062292000041";"Ledersofa Couch Wohnlandschaft 3+2+1 Sitzer Garnitur Design Modern Sofa F_3014D";"true";"2599";"100";"95f0e61c2d1b636b";"83ce2e2cf8ebceb2"
"4062292000058";"EAN_AS_PRODUCT_NUMBER_COPY";"122253";"SofaF3008";"Ledersofa Couch Wohnlandschaft Ecksofa Eck Garnitur Design Modern Sofa F3008";"true";"3799";"0";"6774333d7451e906";"9d9cf8efc134155e"
"4062292000058";"EAN_AS_PRODUCT_NUMBER_COPY";"462858";"4062292000058";"Ledersofa Couch Wohnlandschaft Ecksofa Eck Garnitur Design Modern Sofa F3008";"true";"5299";"100";"57b51de0bbea174a";"fe8c6d83b0945c45"
