"ean";"product_count";"active_product_count";"source_ids";"product_numbers"
"4062292000003";"2";"2";"117781|320498";"CouchtischCT9010|4062292000003"
"4062292000010";"2";"2";"117845|320505";"CouchtischCT9012|4062292000010"
"4062292000027";"2";"2";"118068|453580";"SofaF3014B|4062292000027"
"4062292000041";"2";"2";"122178|463143";"SofaF3014D|4062292000041"
"4062292000058";"2";"2";"122253|462858";"SofaF3008|4062292000058"
"4062292000065";"2";"2";"122330|463116";"SofaF3008B|4062292000065"
"4062292000072";"2";"2";"122407|463165";"SofaF3008C|4062292000072"
"4062292000089";"2";"2";"122484|463091";"SofaF3008D|4062292000089"
"4062292000096";"2";"2";"122559|463264";"SofaF3011|4062292000096"
"4062292000102";"2";"2";"122636|463119";"SofaF3011B|4062292000102"
"4062292000119";"2";"2";"122714|454377";"SofaF3011C|4062292000119"
"4062292000126";"2";"2";"122992|463164";"SofaF3012|4062292000126"
"4062292000133";"2";"2";"123262|454155";"SofaF3013|4062292000133"
"4062292000140";"2";"2";"123538|453964";"SofaF3014|4062292000140"
"4062292000157";"2";"2";"123615|453962";"SofaF3015|4062292000157"
"4062292000164";"2";"2";"123692|463062";"SofaF3016|4062292000164"
"4062292000171";"2";"2";"123769|462856";"SofaF3017|4062292000171"
"4062292000201";"2";"2";"124000|453194";"SofaF3018|4062292000201"
"4062292000218";"2";"2";"124481|463176";"SofaG8001|4062292000218"
"4062292000225";"2";"2";"124560|463117";"SofaG8001B|4062292000225"
"4062292000232";"2";"2";"124837|463133";"SofaG8001C|4062292000232"
"4062292000249";"2";"2";"124914|453452";"SofaG8001D|4062292000249"
"4062292000256";"2";"2";"124989|453960";"SofaG8001E|4062292000256"
"4062292000263";"2";"2";"125598|462853";"SofaG8002B|4062292000263"
"4062292000270";"2";"2";"125675|453455";"SofaG8002C|4062292000270"
"4062292000287";"2";"1";"125752|434806";"SofaG8002D|JVM4062292000287"
"4062292000294";"2";"2";"126029|453957";"SofaG8002E|4062292000294"
"4062292000300";"2";"2";"126266|463196";"SofaG8003|4062292000300"
"4062292000317";"2";"2";"126564|453963";"SofaG8003B|4062292000317"
"4062292000324";"2";"2";"126664|453458";"SofaG8003C|4062292000324"
"4062292000331";"2";"2";"126741|463160";"SofaG8003D|4062292000331"
"4062292000348";"2";"2";"126816|462852";"SofaG8003E|4062292000348"
"4062292000355";"2";"2";"135661|462855";"SofaG8004|4062292000355"
"4062292000379";"2";"2";"135815|453577";"Sofa8004C|4062292000379"
"4062292000386";"2";"2";"136208|453673";"SofaG8004D|4062292000386"
"4062292000393";"2";"2";"136441|453670";"SofaG8004F|4062292000393"
"4062292000409";"2";"2";"136834|316315";"PufaFT01|4062292000409"
"4062292000416";"2";"2";"136888|316234";"PufaFT002|4062292000416"
"4062292000423";"2";"2";"136942|316241";"PufaFT003|4062292000423"
"4062292000430";"2";"2";"136996|316172";"PufaFT004|4062292000430"
"4062292000447";"2";"2";"137050|316186";"PufaFT006|4062292000447"
"4062292000454";"2";"2";"137104|316193";"PufaFT007|4062292000454"
"4062292000461";"2";"2";"137158|316200";"PufaFT008|4062292000461"
"4062292000478";"3";"3";"137371|316227|468120";"PufaFT009|4062292000478|JVM4062292000478"
"4062292000867";"2";"2";"137583|452975";"Sofa1201B|4062292000867"
"4062292000874";"2";"2";"137856|452890";"Sofa1504B|4062292000874"
"4062292000881";"2";"2";"138128|452928";"Sofa1504C|4062292000881"
"4062292000898";"2";"2";"138401|452959";"Sofa1505ANG|4062292000898"
"4062292000911";"2";"2";"138803|452894";"Sofa1530B|4062292000911"
"4062292000928";"2";"2";"139248|452929";"Sofa1541|4062292000928"
"4062292000935";"2";"2";"139349|343251";"Sofa1554|4062292000935"
"4062292000942";"2";"2";"139450|452886";"Sofa2227|4062292000942"
"4062292000959";"2";"2";"139551|452904";"Sofa2235|4062292000959"
"4062292000966";"3";"2";"140168|452893|469648";"Sofa2236|4062292000966|JVM_4062292000966"
"4062292000973";"3";"3";"141878|452884|469060";"Sofa2242|4062292000973|JVM4062292000973"
"4062292000980";"2";"2";"141979|452883";"Sofa2263|4062292000980"
"4062292001000";"2";"2";"142181|452877";"Sofa2276|4062292001000"
"4062292001017";"2";"2";"142282|452899";"Sofa2278|4062292001017"
"4062292001024";"3";"3";"142383|452863|469630";"Sofa2280|4062292001024|JVM_4062292001024"
"4062292001055";"2";"2";"142705|452859";"Sofa2512|4062292001055"
"4062292001215";"2";"2";"132636|475847";"4062292001215|JVM4062292001215"
"4062292001291";"2";"1";"129476|325121";"4062292001291|JVM4062292001291"
"4062292001826";"3";"3";"107638|462871|469635";"Sofa|4062292001826|JVM_4062292001826"
"4062292001833";"2";"2";"107715|453565";"SofaA1109|4062292001833"
"4062292001857";"2";"2";"107867|462865";"SofaA1111|4062292001857"
"4062292001864";"2";"2";"107944|453175";"SofaA1112|4062292001864"
"4062292001871";"2";"2";"108021|453973";"SofaA1116|4062292001871"
"4062292001888";"2";"2";"108098|462869";"SofaA1120|4062292001888"
"4062292001895";"2";"2";"108478|462868";"SofaA1121|4062292001895"
"4062292001901";"2";"2";"108555|453665";"SofaA1121B|4062292001901"
"4062292001918";"2";"2";"108638|463146";"SofaA1121C|4062292001918"
"4062292001925";"2";"2";"108911|462861";"SofaA1122|4062292001925"
"4062292001932";"2";"2";"109104|453971";"SofaA1126|4062292001932"
"4062292001949";"2";"2";"109265|453969";"SofaA1127|4062292001949"
"4062292001956";"2";"2";"109342|463123";"SofaA1128|4062292001956"
"4062292001963";"2";"2";"109619|463099";"SofaA1130|4062292001963"
"4062292001970";"2";"2";"109696|462867";"SofaA1131|4062292001970"
"4062292001987";"2";"2";"110255|463063";"SofaA1146|4062292001987"
"4062292001994";"2";"2";"110454|463122";"SofaA1147|4062292001994"
"4062292002007";"2";"2";"107559|462866";"SofaA1159|4062292002007"
"4062292002014";"3";"1";"154949|344647|435573";"4062292002014|JVM4062292002014|JVM_4062292002014"
"4062292002045";"2";"2";"110721|453714";"SofaA1163|4062292002045"
"4062292002052";"2";"2";"110808|462864";"SofaA1163B|4062292002052"
"4062292002069";"2";"2";"110885|462863";"SofaA1163C|4062292002069"
"4062292002076";"2";"2";"110962|453167";"SofaA1163D|4062292002076"
"4062292002083";"2";"2";"111039|454158";"SofaA1163E|4062292002083"
"4062292002090";"2";"2";"111116|463120";"SofaB2006|4062292002090"
"4062292002106";"2";"2";"111193|453169";"SofaB2006B|4062292002106"
"4062292002113";"2";"2";"111472|453193";"SofaB2011|4062292002113"
"4062292002137";"2";"2";"112011|463121";"SofaB2017B|4062292002137"
"4062292002144";"2";"2";"112088|462857";"SofaB2021|4062292002144"
"4062292002151";"2";"2";"112165|454157";"SofaB2023|4062292002151"
"4062292002168";"2";"2";"112240|462860";"SofaB2027|4062292002168"
"4062292002199";"2";"2";"112673|463118";"SofaC4011|4062292002199"
"4062292002205";"2";"2";"112751|463251";"SofaC4011B|4062292002205"
"4062292002212";"2";"2";"113034|453465";"SofaC4011C|4062292002212"
"4062292002229";"2";"2";"113123|320512";"CouchtischCT9001|4062292002229"
"4062292002236";"2";"2";"113388|320543";"CouchtischCT9002|4062292002236"
"4062292002243";"2";"2";"113452|320550";"CouchtischCT9003|4062292002243"
"4062292002250";"2";"2";"117220|320573";"CouchtischCT9004|4062292002250"
"4062292002267";"2";"2";"117375|320404";"CouchtischCT9005|4062292002267"
"4062292002274";"2";"2";"117460|320414";"CouchtischCT9006|4062292002274"
"4062292002281";"2";"2";"117524|320425";"CouchtischCT9007|4062292002281"
"4062292002298";"2";"2";"117588|320437";"CouchtischCT9008|4062292002298"
"4062292002304";"2";"2";"117652|320484";"CouchtischCT9008B|4062292002304"
