"category_group_id";"navigation_key"
"1951";"l2:bb9b3d0d9adb08f14ac160a75b782c91"
"1952";"l2:184ddb319d8b8d4f46b78078f49715cc"
"1953";"l2:184ddb319d8b8d4f46b78078f49715cc"
"1954";"l2:9d5548f3f7f8e98b04c6f4024d2f1401"
"1955";"l2:0107633b0952a3237a30f7a7f44cfb73"
"1956";"l2:a5ac31cfb6fd57ee3614fe53bbc6d107"
"1957";"l2:f061ddac7d77fad98face661df7c48cb"
"1958";"l2:401b6a23258305801e1d75f1034aba09"
"1959";"l2:9d5548f3f7f8e98b04c6f4024d2f1401"
"1960";"l2:1a348a10acfefb9aa9ca9c205bcfe02e"
"1961";"l2:4082c6571875c14469d160e451d101da"
"1962";"l2:e19d42356e3d598ae41fe4dc4735a006"
"1963";"l2:6c97de79d936057934adca8b202c89fb"
"1964";"l2:0e4f725353af2b3207736a4f411049fa"
"1965";"l2:d79498c82fdc6bfd82e93f0da4e92010"
"1966";"l2:c5f1da71552acd655df967485d2d3586"
"1967";"l2:e19d42356e3d598ae41fe4dc4735a006"
"1968";"l2:bb9b3d0d9adb08f14ac160a75b782c91"
"1969";"l2:0107633b0952a3237a30f7a7f44cfb73"
"1970";"l2:cc02f8b6bd1010b5c215e43aafdfae02"
"1971";"l2:d79498c82fdc6bfd82e93f0da4e92010"
"1972";"l2:3cb84030d9e49bea8521fdec130e760b"
"1973";"l2:9d5548f3f7f8e98b04c6f4024d2f1401"
"1974";"l2:f428e317e75aa6913b4dda892dfa09b1"
"1975";"l2:46f709aa34da482bae09168c0ab0d43b"
"1976";"l2:15be117b713bd1d5ee51cf6258991b4d"
"1977";"l2:c1b15f22c6d619f7443af7d0823ab526"
"1978";"l2:2ac93874348f9bb6723a931161b268bb"
"1979";"l2:b6916a2ac6eab8bfbfb398a77568a055"
"1980";"l2:401b6a23258305801e1d75f1034aba09"
"1981";"l2:401b6a23258305801e1d75f1034aba09"
"1982";"l2:3ac3d250937004fab149339987dc173a"
"1983";"l2:f061ddac7d77fad98face661df7c48cb"
"1984";"l2:2bf81cec6011dfca2e4be72561b9159a"
"1985";"l2:2bf81cec6011dfca2e4be72561b9159a"
"1986";"l2:2bf81cec6011dfca2e4be72561b9159a"
"1987";"l2:2bf81cec6011dfca2e4be72561b9159a"
"1988";"l2:15be117b713bd1d5ee51cf6258991b4d"
"1989";"l2:3cb84030d9e49bea8521fdec130e760b"
"1990";"l2:3cb84030d9e49bea8521fdec130e760b"
"1991";"l2:3cb84030d9e49bea8521fdec130e760b"
"1992";"l2:3cb84030d9e49bea8521fdec130e760b"
"1993";"l2:3cb84030d9e49bea8521fdec130e760b"
