"navigation_key";"parent_navigation_key";"navigation_name"
"l1:67840e6d27ecd3a210dacf4eabf72f5e";"";"Auto, Motorrad & Fahrrad"
"l1:9225c5db82350286a83bd69cbc334716";"";"Baby & Kind"
"l1:5798a9d1deee8d86de5b8f6c2c363677";"";"Baumarkt"
"l1:ba4efa668a646c59c74c9a8076668732";"";"Beauty & Gesundheit"
"l1:01a7fe9dec231455b58f02a5a1da75b2";"";"Büro & Schule"
"l1:a47f6c31fa83b0a5dcd6c88792cd1a71";"";"Elektronik"
"l1:2e58d31fb3c99f15d059bbc0756ba295";"";"Garten & Balkon"
"l1:e92a69575e559784fdd043bdc16f1981";"";"Haushalt & Küche"
"l1:8a58b85a82fb4532ba52344aee8ecb43";"";"Heimtextilien"
"l1:141d84e0bdb354319ba49509053c27e3";"";"Lebensmittel"
"l1:5296a6a28833397cea7c977f2df09976";"";"Medien"
"l1:9247a68fe465d64c00f97220bc9f24e3";"";"Möbel"
"l1:4b914c406d3e4277f7f96472c4dedf05";"";"Mode & Accessoires"
"l1:eedf42b1a383946fb5c3d2e12a44d22e";"";"Musik & Instrumente"
"l1:e4f5181273a46a8e6bcb228bce86d48c";"";"Reise & Gepäck"
"l1:ccdc08fe15cb32b2db2a76145577c315";"";"Spielzeug & Hobby"
"l1:2d95e1e17abc6c9afb85088671f65e3a";"";"Sport & Outdoor"
"l1:7338fe1328fc2bfaa0f28c4a9134374e";"";"Tierbedarf"
"l1:f1f9aa3bb2b22db4845defd515750d4f";"";"Wohnen & Dekoration"
"l2:39a40b4f7db81db3efd2a16c8fb5573e";"l1:67840e6d27ecd3a210dacf4eabf72f5e";"Anhänger & Transport"
"l2:eec5e628ad852f6ea0874095ebad0083";"l1:67840e6d27ecd3a210dacf4eabf72f5e";"Autoteile & Reifen"
"l2:501575868f7d0ff66e6a0864e9e742d6";"l1:67840e6d27ecd3a210dacf4eabf72f5e";"Autozubehör & Fahrzeugpflege"
"l2:946c3191ef59c830883f7dee2f706176";"l1:67840e6d27ecd3a210dacf4eabf72f5e";"Fahrräder & E-Bikes"
"l2:7498957b12bfb6f4a69e3df49ff9d37f";"l1:67840e6d27ecd3a210dacf4eabf72f5e";"Motorrad & Motorroller"
"l2:77b3016e7f5f694da0b253f67b605250";"l1:67840e6d27ecd3a210dacf4eabf72f5e";"Navigation & Elektronik"
"l2:e86fcf96c42552b55ee331ec240b7ddd";"l1:9225c5db82350286a83bd69cbc334716";"Babyausstattung"
"l2:e6627d1576ba682d0e6cac6810ab1716";"l1:9225c5db82350286a83bd69cbc334716";"Babymode"
"l2:8b8cf61b487e9de8d97ca6681317c6f7";"l1:9225c5db82350286a83bd69cbc334716";"Kindersicherheit"
"l2:eaa48324c5da49a370b4efff3b47e0f8";"l1:9225c5db82350286a83bd69cbc334716";"Kinderwagen & Mobilität"
"l2:7f799c30673f8250c94c148546388c81";"l1:9225c5db82350286a83bd69cbc334716";"Schlafen"
"l2:b625e48d2790c68f90517eb81dc1b17e";"l1:9225c5db82350286a83bd69cbc334716";"Stillen & Ernährung"
"l2:63857ca8f32a4d77245f2828b6974f41";"l1:5798a9d1deee8d86de5b8f6c2c363677";"Arbeitsschutz & Sicherheit"
"l2:c7c92a371fcabdde252180e314dd1361";"l1:5798a9d1deee8d86de5b8f6c2c363677";"Bad & Sanitär"
"l2:5ce36a7213e3453574ac154cb47bf1e1";"l1:5798a9d1deee8d86de5b8f6c2c363677";"Bauen & Renovieren"
"l2:63ae0445f9c5744275bc9dda64259332";"l1:5798a9d1deee8d86de5b8f6c2c363677";"Befestigung & Beschläge"
"l2:1c15b116b4425bf983335c0444c4cda2";"l1:5798a9d1deee8d86de5b8f6c2c363677";"Elektroinstallation"
"l2:44c951619d07e0906376f6bb33390e4b";"l1:5798a9d1deee8d86de5b8f6c2c363677";"Heizung & Klima"
