"category_group_id";"category_group";"attribute_source_category_id";"attribute_id";"attribute_key";"attribute_group";"attribute_name";"attribute_type";"relevance";"multi_value";"unit";"unit_display_name";"feature_relevance";"description"
"1951";"3D-Brillen";"14423";"95626";"95626";"Stromversorgung";"Art Stromversorgung";"STRING";"HIGH";"true";"";"";"PRODUCT_DETAILS|FILTER|NAVIGATION|SEARCH";""
"1951";"3D-Brillen";"14423";"95627";"95627";"Stromversorgung";"Anzahl Akkus";"INTEGER";"LOW";"false";"St.";"Stück";"VARIATION_THEME|PRODUCT_DETAILS";"Bitte die Stückzahl der verbauten oder beigelegten Akkus eintragen. Diese Angabe wird für die Gefahrstoff-Logistik und zur Kundeninformation benötigt."
"1951";"3D-Brillen";"14423";"95628";"95628";"Stromversorgung";"Anzahl Batterien";"INTEGER";"LOW";"false";"St.";"Stück";"VARIATION_THEME|PRODUCT_DETAILS";"Bitte die Stückzahl der verbauten oder beigelegten Batterien eintragen. Diese Angabe wird für die Gefahrstoff-Logistik und zur Kundeninformation benötigt."
"1951";"3D-Brillen";"14423";"95629";"95629";"Stromversorgung";"Akkukapazität";"FLOAT";"LOW";"false";"mAh";"Milliamperestunde";"PRODUCT_DETAILS";"Die Kapazität der verbauten Akkus wird nicht nur zur Information der Kunden benötigt, sondern ist auch in der Logistik von Gefahrstoffen (dazu gehören auch Akkus) eine wichtige Information."
"1951";"3D-Brillen";"14423";"95630";"95630";"Stromversorgung";"Batterie-/Akku-Technologie";"STRING";"LOW";"true";"";"";"PRODUCT_DETAILS";"Die Bauart der Akkus und ihre chemische Zusammensetzung sind wichtige Informationen in der Logistik für Gefahrstoffe. Auch als Kundeninformation wichtig."
"1951";"3D-Brillen";"14423";"95631";"95631";"Stromversorgung";"Kabellänge";"FLOAT";"LOW";"false";"m";"Meter";"VARIATION_THEME|PRODUCT_DETAILS";"Länge des Stromkabels"
"1951";"3D-Brillen";"14423";"95632";"95632";"Stromversorgung";"Spannung";"STRING";"LOW";"true";"V";"Volt";"PRODUCT_DETAILS";"Bei Stromversorgung über Stromkabel"
"1951";"3D-Brillen";"14423";"95633";"95633";"Stromversorgung";"Leistung Akku";"FLOAT";"LOW";"false";"Wh";"Wattstunde";"PRODUCT_DETAILS";"Leistung des Akkus, Information für Kunden. Siehe auch Merkmal ""Spannung Akku""."
"1951";"3D-Brillen";"14423";"95634";"95634";"Stromversorgung";"Spannung Akku";"FLOAT";"LOW";"true";"V";"Volt";"PRODUCT_DETAILS";"Spannung des Akkus in Volt. Relevant als Kundeninformation. Beachten Sie: Wird das Merkmal „Spannung Akku“ gewählt, muss auch die „Leistung Akku“ angegeben werden. Hierdurch ist eine Berechnung der Akkukapazität möglich."
"1951";"3D-Brillen";"14423";"95635";"95635";"Stromversorgung";"Typ Netzstecker";"STRING";"LOW";"false";"";"";"PRODUCT_DETAILS";"Wählen Sie den am Produkt verwendeten Netzstecker aus der Liste aus. Diese Information wird zur Einsatzsteuerung und Kundeninformation verwendet."
"1951";"3D-Brillen";"14423";"95636";"95636";"Stromversorgung";"Lieferzustand Batterien / Akkus";"STRING";"LOW";"true";"";"";"PRODUCT_DETAILS";"Geben sie bitte an, ob sich Akkus oder Batteries im Gerät oder in der Verpackung befinden bzw. diese festverbaut sind."
"1951";"3D-Brillen";"14423";"95637";"95637";"Produktdetails";"Reichweite";"FLOAT";"LOW";"false";"m";"Meter";"PRODUCT_DETAILS";""
"1951";"3D-Brillen";"14423";"95638";"95638";"Produktdetails";"Wiederholungsrate";"INTEGER";"LOW";"true";"Hz";"Hertz";"PRODUCT_DETAILS";""
"1951";"3D-Brillen";"14423";"95639";"95639";"Produktdetails";"Anzahl Teile";"INTEGER";"LOW";"false";"St.";"Stück";"VARIATION_THEME|PRODUCT_DETAILS";"Besteht die bestellbare Einheit aus mehr als einem Teil, können Sie hier die Anzahl der Teile angeben."
"1951";"3D-Brillen";"14423";"95640";"95640";"Produktdetails";"Besondere Merkmale";"STRING";"HIGH";"false";"";"";"TITLE|FILTER|NAVIGATION|SEARCH";"Besonders hervorzuhebende bzw. verkaufsfördernde Eigenschaften Ihres Artikels. Diese kurze Stichwortangabe wird bei der automatischen Zusammensetzung der Artikelkurzbeschreibung (Überschrift) verwendet. Beispiele: ""mit Flockprint"", ""mit 2 unterschiedlich festen Liegeseiten"", ""nur Gehäuse"""
"1951";"3D-Brillen";"14423";"95641";"95641";"Produktdetails";"Set-Info";"STRING";"HIGH";"false";"";"";"PRODUCT_DETAILS|FILTER|NAVIGATION|SEARCH";"Zur Anzeige in der Kurzbezeichnung. Bitte kurz halten!"
"1951";"3D-Brillen";"14423";"95642";"95642";"Produktdetails";"Set-Typ";"STRING";"LOW";"false";"";"";"";"Beachten Sie die Unterscheidung von ""Set"" und ""Packung""! Ein Set besteht aus mehreren UNTERSCHIEDLICHEN Produkttypen (z.B. Bezug, Vorleger und Matte), eine Packung besteht aus mehreren GLEICHEN Produkttypen (z.B. 4x Vorleger)."
"1951";"3D-Brillen";"14423";"95643";"95643";"Produktdetails";"Kompatible Geräte";"STRING";"HIGH";"false";"";"";"VARIATION_THEME|PRODUCT_DETAILS|FILTER|NAVIGATION|SEARCH";""
"1951";"3D-Brillen";"14423";"95644";"95644";"Produktdetails";"Modellbezeichnung";"STRING";"LOW";"false";"";"";"PRODUCT_DETAILS";"Relevant für EEK"
"1951";"3D-Brillen";"14423";"95645";"95645";"Maße & Gewicht";"Breite";"FLOAT";"HIGH";"false";"cm";"Zentimeter";"VARIATION_THEME|PRODUCT_DETAILS|FILTER|NAVIGATION|SEARCH";"Breite"
