"category_group_id";"category_group";"category_id";"category_name"
"1951";"3D-Brillen";"14423";"3D-Brille"
"1951";"3D-Brillen";"14422";"Videobrille"
"1952";"3D-Drucker";"14424";"3D-Drucker"
"1953";"3D-Drucker-Stifte";"14425";"3D-Drucker-Stift"
"1954";"Abbruchhammer";"14427";"Abbruchhammer"
"1954";"Abbruchhammer";"14426";"Akku-Meißelhammer"
"1954";"Abbruchhammer";"14428";"Druckluft-Meißelhammer"
"1955";"Abdeckblenden";"14439";"Abdeckboden"
"1955";"Abdeckblenden";"14440";"Blende"
"1955";"Abdeckblenden";"14447";"Briefeinwurfblende"
"1955";"Abdeckblenden";"14438";"Fenster-Set Erweiterung"
"1955";"Abdeckblenden";"14437";"Griffleiste"
"1955";"Abdeckblenden";"14434";"Gurtwickler-Abdeckplatte"
"1955";"Abdeckblenden";"14435";"Heizungsverkleidung"
"1955";"Abdeckblenden";"14436";"Hochbeet-Verkleidung"
"1955";"Abdeckblenden";"14445";"Kanalverlängerung"
"1955";"Abdeckblenden";"14444";"Klimaanlagen-Verkleidung"
"1955";"Abdeckblenden";"14448";"Ladekantenschutz"
"1955";"Abdeckblenden";"14442";"Ofen-Frontblende"
"1955";"Abdeckblenden";"14449";"Ofen-Seitenblende"
"1955";"Abdeckblenden";"14450";"Ofen-Topplatte"
"1955";"Abdeckblenden";"14443";"Rasenmähroboter-Cover"
"1955";"Abdeckblenden";"14441";"Siphonverkleidung"
"1955";"Abdeckblenden";"14431";"Spülkasten-Abdeckblende"
"1955";"Abdeckblenden";"14429";"Treppenstufen-Seitenblende"
"1955";"Abdeckblenden";"14433";"Verblendungssatz"
"1955";"Abdeckblenden";"14446";"Wärmepumpen-Schutzdach"
"1955";"Abdeckblenden";"14432";"Wärmepumpen-Verkleidung"
"1955";"Abdeckblenden";"14430";"Waschtisch-Halbsäule"
"1956";"Abdeckungsheber";"14451";"Abdeckungsheber"
"1957";"Abfallzerkleinerer";"14452";"Abfallzerkleinerer"
"1958";"Abheftstreifen";"14453";"Abheftstreifen"
"1959";"Abisoliermaschinen";"14454";"Abisoliermaschine"
