"category_group_id";"category_group";"category_count";"attribute_source_category_id"
"1951";"3D-Brillen";"2";"14423"
"1952";"3D-Drucker";"1";"14424"
"1953";"3D-Drucker-Stifte";"1";"14425"
"1954";"Abbruchhammer";"3";"14427"
"1955";"Abdeckblenden";"22";"14439"
"1956";"Abdeckungsheber";"1";"14451"
"1957";"Abfallzerkleinerer";"1";"14452"
"1958";"Abheftstreifen";"1";"14453"
"1959";"Abisoliermaschinen";"1";"14454"
"1960";"Ablageanbauten";"7";"14457"
"1961";"Ablaichkästen";"1";"14462"
"1962";"Abläufe";"12";"14465"
"1963";"Absauganlagen";"4";"14475"
"1964";"Abschlaghilfen";"1";"14479"
"1965";"Abschlusskappen";"7";"14480"
"1966";"Absperrungen";"9";"14487"
"1967";"Absperrventile";"21";"14506"
"1968";"Abspielgeräte";"11";"14524"
"1969";"Abstandshalter";"8";"14528"
"1970";"Abstellstützen";"2";"14536"
"1971";"Abstreifgitter";"1";"14538"
"1972";"Abziehmatten";"1";"14539"
"1973";"Abziehwerkzeuge";"7";"14543"
"1974";"Achsen";"1";"14547"
"1975";"Adapter";"35";"14582"
"1976";"Additive";"9";"14586"
"1977";"Adventskalender";"10";"14601"
"1978";"Akkumulatoren";"27";"14616"
"1979";"Akkusauger";"10";"14636"
"1980";"Aktenvernichter";"5";"14643"
"1981";"Aktenvernichter-Auffangbeutel";"1";"14644"
"1982";"Alkoholtestgeräte";"1";"14645"
"1983";"Allesschneider";"3";"14648"
"1984";"Anbau-Bodenfräsen";"1";"14649"
"1985";"Anbau-Kehrgutsammler";"1";"14650"
"1986";"Anbau-Räumschilde";"1";"14651"
"1987";"Anbaugeräte";"5";"14655"
"1988";"Anfahrhilfen";"2";"14657"
"1989";"Angelgaffs";"1";"14659"
"1990";"Angelgewichte";"21";"14680"
"1991";"Angelhaken";"20";"14686"
"1992";"Angelposen";"14";"14704"
"1993";"Angelrollen";"11";"14723"
"1994";"Angelruten";"19";"14735"
"1995";"Anhängevorrichtungen";"2";"14745"
"1996";"Anrufbeantworter";"2";"14748"
"1997";"Ansatztischplatten";"4";"14750"
"1998";"Anschlagpuffer";"3";"14755"
"1999";"Anschlagwinkel";"8";"14761"
"2000";"Anspitzer";"1";"14764"
"2001";"Antennen";"10";"14768"
"2002";"Anti-Rutsch-Pads";"6";"14775"
"2003";"Anti-Schnarch-Geräte";"5";"14785"
"2004";"Anzeigeinstrumente";"14";"14786"
"2005";"Anzeigetafeln";"2";"14800"
"2006";"Anziehhilfen";"1";"14802"
"2007";"Anzüge";"12";"14807"
"2008";"Anzündkamine";"3";"14815"
"2009";"Aquarienheizer";"2";"14818"
"2010";"Arbeitsmöbel-Sets";"2";"14820"
"2011";"Arbeitsschutzbrillen";"1";"14822"
"2012";"Arbeitsspeicher";"3";"14825"
"2013";"Armaturen";"20";"14828"
"2014";"Armaturkartuschen";"1";"14846"
"2017";"Armbänder";"38";"14887"
"2015";"Armbanduhren";"20";"14853"
"2016";"Armbinden";"1";"14867"
"2018";"Armlehnen";"1";"14906"
"2019";"Atemmasken";"8";"14909"
"2020";"Audio-Video-Switches";"4";"14918"
"2021";"Aufbewahrungsboxen";"90";"14949"
"2022";"Aufblasartikel";"18";"15024"
"2023";"Auffangbehälter";"6";"15028"
"2024";"Auffangschalen";"2";"15033"
"2025";"Aufguss-Kellen";"1";"15035"
"2026";"Aufguss-Konzentrate";"1";"15036"
"2027";"Aufguss-Sets";"1";"15037"
"2028";"Aufgusstöpfe";"2";"15039"
"2029";"Aufkleber";"7";"15041"
"2030";"Auflaufformen";"3";"15047"
"2033";"Aufnäher";"3";"15057"
"2031";"Aufnahmegeräte";"6";"15052"
